a52dec 0.7.4-11
aalib 1.4rc5-14
abseil-cpp 20220623.0-1
accounts-qml-module 0.7-4
accountsservice 22.08.8-2
ack 3.6.0-1
acl 2.3.1-2
acorn 1:8.8.0-1
activitywatch-bin 0.12.0-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
aha 0.5.1-2
akonadi 22.08.0-1
akonadi-calendar 22.08.0-1
akonadi-calendar-tools 22.08.0-1
akonadi-contacts 22.08.0-1
akonadi-import-wizard 22.08.0-1
akonadi-mime 22.08.0-1
akonadi-notes 22.08.0-1
akonadi-search 22.08.0-1
akonadiconsole 22.08.0-1
akregator 22.08.0-1
akvcam-dkms 1.2.2-1
alacritty 0.10.1-2
alacritty-colorscheme 1.0.1-1
alsa-card-profiles 1:0.3.56-1
alsa-lib 1.2.7.2-1
alsa-plugins 1:1.2.7.1-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.7.2-1
analitza 22.08.0-1
ansible 6.3.0-1
ansible-core 2.13.3-1
ant 1.10.12-1
anydesk 5.1.2-1
aom 3.4.0-1
apparmor 3.1.1-1
appstream 0.15.5-1
appstream-glib 0.8.1-1
appstream-qt 0.15.5-1
apr 1.7.0-3
apr-util 1.6.1-9
arandr 0.1.10-7
archlinux-appstream-data 20220830-1
archlinux-keyring 20220831-1
argon2 20190702-4
aribb24 1.0.3-3
ark 22.08.0-1
artikulate 22.08.0-1
asar 3.2.0-1
aspell 0.60.8-2
aspnet-runtime 6.0.8.sdk108-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.44.1-1
atk 2.38.0-1
atkmm 2.28.3-1
attica 5.97.0-1
attica-qt4 0.4.2-7
attr 2.5.1-2
audiocd-kio 22.08.0-1
audiofile 0.3.6-6
audit 3.0.8-1
autoconf 2.71-1
autoconf-archive 1:2022.02.11-1
autoconf2.13 2.13-6
autocutsel 0.10.1-1
automake 1.16.5-1
automoc4 0.9.88-9
autossh 1.4g-2
avahi 0.8+22+gfd482a7-3
avidemux-cli 2.8.0-3
avidemux-qt 2.8.0-3
avogadro-crystals 1.0.1-1
avogadro-molecules 1.0.0-1
avogadrolibs 1.97.0-1
avogadrolibs-qt5 1.97.0-1
awesome-terminal-fonts 1.1.0-4
aws-cli 1.25.58-1
azure-cli 2.40.0-1
azure-storage-explorer 1.25.0-1
baloo 5.97.0-1
baloo-widgets 22.08.0-2
base 3-1
bash 5.1.016-1
bash-completion 2.11-2
bat 0.21.0-3
bazel 5.3.0-1
bbswitch 0.8-534
bc 1.07.1-4
bcg729 1.1.1-1
bcompare 4.4.3.26655-1
bind 9.18.6-1
binutils 2.39-3
bison 3.8.2-4
bitwarden 2022.8.1-1
black-hole-solver 1.12.0-1
blas 3.10.1-1
bleachbit 4.4.2-3
blinken 22.08.0-1
bluedevil 1:5.25.4-1
bluejeans 2.30.1-1
blueman 2.3.2-1
bluez 5.65-3
bluez-libs 5.65-2
bluez-qt 5.97.0-1
bluez-utils 5.65-3
bmon 4.0-4
bolt 0.9.3-1
bomber 22.08.0-1
boost-libs 1.79.0-1
bovo 22.08.0-1
brave-bin 1:1.43.93-1
breeze 5.25.4-1
breeze-gtk 5.25.4-1
